Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
This app is easy to do at home,"[0.43333333333333335, 0.8333333333333334]","[0.293, 0.707, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Excellent App,"[1.0, 1.0]","[0.787, 0.213, 0.0]",3
"This app is functional and worth it. Classes are straightforward and have sufficient depth. There is one instructor for all of them which adds consistency to your routine.*good action for runners**Good a wide range of abilities""","[0.16875, 0.24375]","[0.106, 0.894, 0.0]",3
"I like it. But, to my opinion, three is not enough short sessions, which are 10 minutes and less.","[-0.05555555555555555, 0.2888888888888889]","[0.128, 0.872, 0.0]",2
"The videos are super helpful for anyone who doesn't know the poses, and the ability to create myvown class tobfit my needs is perfect. I've already suggested this app to others.","[0.6666666666666666, 0.8333333333333333]","[0.363, 0.637, 0.0]",3
I like the peacuful sound of the instructor and easy flow. Brings nice after yoga feeling to my day after session in the morning.,"[0.4777777777777778, 0.7444444444444445]","[0.338, 0.662, 0.0]",3
Love this app for for in between studio classes during the week when you need a quick fix. Great for beginners and seasoned yogis.,"[0.4708333333333333, 0.525]","[0.283, 0.717, 0.0]",2
"I love this yoga app. Well worth the money. Great classes, and you can modify to your needs!","[0.6, 0.48333333333333334]","[0.492, 0.508, 0.0]",3
"really good work, love it.","[0.6, 0.6000000000000001]","[0.718, 0.282, 0.0]",4
I love the classes and I love how easy they are to do wherever you are,"[0.4777777777777778, 0.6777777777777777]","[0.507, 0.493, 0.0]",3
It's very easy to fallow.,"[0.5633333333333334, 1.0]","[0.444, 0.556, 0.0]",3
"Works great, downloads fast, no issues","[0.5, 0.675]","[0.398, 0.388, 0.214]",3
I luv it,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Good quality video and sound. Easy to customise your own classes. Good range of different classes. Posture search could be improved by a more intelligent search but a really minor issue.,"[0.45370370370370366, 0.625925925925926]","[0.295, 0.705, 0.0]",3
Love this yoga app. I have tried so many others but really wanted one that was for a beginner and that I could customise.,"[0.39999999999999997, 0.43333333333333335]","[0.115, 0.885, 0.0]",2
"Good design and easy to follow. However,  I'm experiencing problems when I try to download classes. Just get the notification ""download failed"" every time the 60 minute programme has reached about 90% complete. Currently using an samsung android tablet.","[0.14666666666666667, 0.5066666666666667]","[0.156, 0.714, 0.13]",3
I don't write many reviews but this app was well worth the purchase. It has several classes of different levels of intensity and different durations. It flows nicely and allows you to choose different ambient sounds and you can even customize the class.,"[0.19999999999999998, 0.4857142857142857]","[0.185, 0.815, 0.0]",3
Best gift ever from my beautiful daughter.,"[0.925, 0.65]","[0.733, 0.267, 0.0]",3
Nice mixture of everything and very easy to get started.,"[0.5816666666666667, 1.0]","[0.428, 0.572, 0.0]",3
My job is kind of stressful and has me sitting a lot. It's been havoc on my lower back and posture. My doc suggested I exercise more and find things that help reduce my anxiety. Yoga sounded like the perfect fit but I was lost on where to start. This app is wonderful. It had combinations for beginners to more experienced and the instructions are clear and easy to follow. I've been using it for a couple of weeks now and I have felt a difference in my body. My hips aren't as tight and My posture is improving.,"[0.46861471861471854, 0.6093073593073594]","[0.207, 0.7, 0.093]",3
The preset programs are just what I was looking for.  More than worth the cost.,"[0.4, 0.3]","[0.144, 0.856, 0.0]",1
Great classes and lots of variation. Really useful app if you want to continue yoga practice in your home.,"[0.55, 0.375]","[0.349, 0.651, 0.0]",3
I've always wanted to do yoga but have only done it a few times before getting this app. I hate being the guy that doesn't know how to do the poses in a class. This app has allowed me to build confidence while learning the poses and strengthening/stretching my muscles. I can't wait to try my first yoga class since using this app.,"[-0.1875, 0.5833333333333334]","[0.067, 0.857, 0.076]",1
Great,"[0.8, 0.75]","[1.0, 0.0, 0.0]",4
"Really great app. I use it regularly. However, it would be great to have Google fit integration.","[0.5, 0.49423076923076925]","[0.465, 0.535, 0.0]",3
Brilliant for a beginner like myself.,"[0.9, 1.0]","[0.677, 0.323, 0.0]",1
"Never tired yoga before this, easy to follow great videos to watch while practicing definitely worth the money spent.","[0.32666666666666666, 0.4966666666666667]","[0.417, 0.483, 0.1]",1
"I have been using this app in the ipad and I love it. I can choose to work strength, flexibility, relaxation and a combination sequences, adequate to my yoga level and it has short sequences of 15 mins when I only have a few minutes to spare.","[0.12666666666666665, 0.4666666666666667]","[0.295, 0.705, 0.0]",3
"I've tried many yoga apps and this is, by far, the best available.  There are still a few improvements possible (particularly in the editing aspect) but the variety and quality of the included classes plus the ability to create my own and share between yogi friends makes this top notch.  Thanks, Gaiam!","[0.33166666666666667, 0.5333333333333334]","[0.35, 0.65, 0.0]",3
"I don't have time to go to a class. This allows me to do this at home, in my time.","[0.0, 0.0]","[0.0, 1.0, 0.0]",1
"great stuff, worth every cent","[0.55, 0.425]","[0.667, 0.333, 0.0]",3
I have a lot of lower back pain and the 15 minute flex and relax routines are perfect for alleviating that pain.,"[0.5, 0.5]","[0.217, 0.493, 0.289]",1
"This is by far the best app for Yoga that I have tried, it got me hooked up to Yoga.","[0.55, 0.65]","[0.189, 0.811, 0.0]",3
Im a bigger person but most of the begginner stuff can easily be modified to suit me better. I like it and will continue to use it to reduce stress and become for flexible and help my back pain.,"[0.2866666666666667, 0.4666666666666667]","[0.297, 0.553, 0.15]",1
The addition of quick fix makes this even better. I might not have time for a full class every day but at least I can get a quick fix.,"[0.24333333333333326, 0.49000000000000005]","[0.075, 0.925, 0.0]",3
Has helped me manage stress and feel better in my body. I adore this app.,"[0.5, 0.5]","[0.32, 0.542, 0.138]",3
Love these yoga sessions.  Each one is relaxing but effective and so easy to follow and do regularly.  Excellent value.,"[0.6333333333333333, 0.8083333333333333]","[0.603, 0.397, 0.0]",2
"I use it daily. Great range of classes well presented, and works on Chromecast.","[0.4, 0.375]","[0.36, 0.64, 0.0]",2
"Very easy to follow, small files, a variety of options depending on your time and goals.  Incredibly happy with it!","[0.4377777777777778, 0.7999999999999999]","[0.305, 0.695, 0.0]",3
Beautiful classes...couldn't be better. Thanks so much for the care you have taken to put these classes together on an app,"[0.4375, 0.475]","[0.246, 0.588, 0.166]",1
Great way to fit yoga into daily life!,"[0.4000000000000001, 0.3833333333333333]","[0.535, 0.465, 0.0]",3
Love this and the alert features keep me on track.,"[0.5, 0.6]","[0.444, 0.556, 0.0]",3
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
"Use too much space on my phone. And cannot move app data to SD card, the guide in FAQ not solve the problem.","[0.2, 0.2]","[0.091, 0.845, 0.064]",1
Great app for when you're stuck in a rut and need to shake up your practice a bit!,"[1.0, 0.75]","[0.208, 0.616, 0.175]",3
Really nice guiding with a soothing voice.,"[0.6, 1.0]","[0.574, 0.426, 0.0]",3
The 30 minute class flew by. Only gripe is that the background music doesn't play when I Chromecast it and I can't figure out how to fix it.,"[0.0, 1.0]","[0.0, 0.925, 0.075]",2
"I'm excited, it's great! I'm a beginner at yoga and it's PERFECT!","[0.7916666666666666, 0.8333333333333334]","[0.59, 0.41, 0.0]",3
"I love this app, I've had it for 3 years on my iPad lost the iPad just now got it on my smartphone, best yoga app in the world.","[0.75, 0.44999999999999996]","[0.242, 0.692, 0.066]",1
Certainly value for money! I really enjoy the classes. You need to download the individual lesson so you better do that before you want to start and you should have a WiFi connection. Otherwise awesome app,"[0.43357142857142855, 0.5942857142857143]","[0.38, 0.62, 0.0]",2
"Easy to use and is great for a quick daily yoga practice, if you're familiar with yoga and the poses.","[0.3883333333333333, 0.5166666666666667]","[0.292, 0.708, 0.0]",3
This app is everything I wanted from a yoga app. Simple and sensible with options for difficulty and length of sessions. Functions well. No problems at all.,"[0.0, 0.35714285714285715]","[0.069, 0.691, 0.24]",2
"I stand by it, im only on day 2 but it was so simple and calming that i shared it on social media. As a beginner its beautiful! 1Love","[0.25833333333333336, 0.605952380952381]","[0.366, 0.634, 0.0]",3
"This would be a really good app, but for one thing. Its yoga programmes have to be downloaded and they use up masses of storage capacity. This is the opposite of what is promised. Possibly, I am doing something wrong, but if I can't find out what, the app will have to go.","[0.04999999999999999, 0.625]","[0.095, 0.832, 0.073]",2
"I've been doing basic yoga moves for a few years to help with hip issues but needed something more. I lift weights 3 days a week and do cardio 4 days, I still have another 50lbs to lose so by no means in shape. This app has so much variety that I can use it after every workout. The moves are simple yet challenging for a beginner. I feel like I'll finally make progress in flexibility and keep from injury. This is a must have for all!","[0.14285714285714285, 0.46887755102040823]","[0.151, 0.737, 0.112]",2
I loved this app on my old iPad that I no longer use. So I was ecstatic when it came out on Android finally. Works great and I love the calm and relaxed flow of the classes.,"[0.4000000000000001, 0.6833333333333332]","[0.43, 0.525, 0.044]",3
It kept telling me my data connection is off...   Refunded,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
This app has really taught me alot,"[0.2, 0.2]","[0.0, 1.0, 0.0]",1
Very slick app,"[-0.325, 0.48750000000000004]","[0.0, 1.0, 0.0]",3
Best app ever! Thank you!,"[1.0, 0.3]","[0.708, 0.292, 0.0]",3
"I have always heard of Gaiam, and this app really helped me alot. Especially for myself as a face painter when I go and do gigs, this really helped me to avoid getting nervous and just go with the flow.","[0.13333333333333333, 0.4666666666666666]","[0.0, 0.891, 0.109]",3
Just needs Google Fit integration and it would be perfect,"[0.7, 0.7]","[0.437, 0.563, 0.0]",1
"Easy to use, great for beginners like me!","[0.7166666666666667, 0.7916666666666667]","[0.662, 0.338, 0.0]",3
"I tried searching for ""dog"" or ""svanasana"" but no results were shown. Search for ""downward"" or ""upward"" worked. What use is a search if you can only search for something linearly like this? I can scroll my way to the letter I want if I want to look for something alphabetically...","[0.0, 1.0]","[0.121, 0.824, 0.055]",1
Absolutely love it,"[0.5, 0.6]","[0.692, 0.308, 0.0]",2
"Quick to download, flawless playback, easy to use for yoga at home. Love this app.","[0.5666666666666667, 0.7333333333333334]","[0.464, 0.536, 0.0]",1
"I do love Yoga Studio and have used it for years on my iPad. I've just switched to the Android version and, though it's still very good (and I wouldn't be without it) the app needs a bit of work, so I'm afraid you lose a star!  You'll get it back once these little glitches are sorted out.","[0.09449999999999999, 0.556]","[0.125, 0.831, 0.044]",2
"I surfed youtube and found nothing of this quality. I'm now doing yoga every single morning after my morning meditation. This app is pretty perfect, keep up the good work :)","[0.4757142857142857, 0.7628571428571429]","[0.33, 0.67, 0.0]",1
This app gives you step by step instructions for poses and allows you to place poses together to make your own custom class. I wish I could give it more than 5 stars.,"[0.55, 0.75]","[0.085, 0.915, 0.0]",3
"I practically use it everyday. I just wish there was a little bit more classes with other forms of yoga, more flexibility, etc. But it is super easy to use and great for beginners.","[0.25677083333333334, 0.590625]","[0.385, 0.615, 0.0]",2
Well worth the money,"[0.3, 0.1]","[0.667, 0.333, 0.0]",3
Perfect for all levels and even has stretches for runners for anyone in athletics. Working my through the many classes and really enjoying.,"[0.6666666666666666, 0.7000000000000001]","[0.26, 0.74, 0.0]",1
"Love the pre-made classes. The teacher has a soothing voice and guides you through nicely, telling you when to inhale and exhale and giving tips on how to do the position properly and/or adjust the position based on your needs.","[0.3666666666666667, 0.5666666666666668]","[0.252, 0.748, 0.0]",2
"Great app with everything you need to get started with Yoga. It's easy to use, snappy and has good quality of videos as well. Only negative that can be said is the omission of Chromecast support.","[0.32666666666666666, 0.7166666666666667]","[0.304, 0.62, 0.076]",3
Worth it,"[0.3, 0.1]","[0.655, 0.345, 0.0]",3
"Love it, got me back to yoga, I use it daily ðŸ˜†","[0.16666666666666666, 0.19999999999999998]","[0.296, 0.704, 0.0]",-1
"The host's voice is calming, the music is great if you like it, but can be turned off if you don't. I love that I can download classes to utilize even when I'm not in service. With so many classes \u0026amp; poses, I don't ever get bored with what this app offers.","[0.13, 0.5700000000000001]","[0.147, 0.773, 0.08]",3
Easy to follow poses. Lots of classes to choose from. Soothing voice over. I've been looking for something like this for ages. Worth the money.,"[0.3666666666666667, 0.4666666666666667]","[0.314, 0.686, 0.0]",2
This app is simply perfect! Love the schedule feature and the variety of the classes!,"[0.8125, 0.8]","[0.395, 0.605, 0.0]",4
Really just a perfect yoga app. No flaws to speak of. I bought a yoga mat six months ago and never used it. Since I got this app I use it every day. Kudos to you guys for making yoga affordable for anyone to learn. Here's to improved health!,"[0.6, 0.6]","[0.202, 0.757, 0.042]",3
Excellent. Please add another languages (spanish) in the future.,"[0.3333333333333333, 0.375]","[0.462, 0.538, 0.0]",3
"It s only 10 Liras and it gives you a great library for a quick yoga exercise,  I use it after my work out routine to complete it and it's perfect.","[0.44666666666666666, 0.73]","[0.238, 0.762, 0.0]",3
"Easy to follow videos. Customizable. Can listen to your music instead of built in app, and just get the instructor to teach or just name poses. Best once you've done the classes a few times. Couple of sync errors when just naming poses. 5 stars once that's fixed in an update.","[0.33333333333333337, 0.35833333333333334]","[0.128, 0.829, 0.043]",2
Its like having a professional yoga class anytime you want,"[0.1, 0.1]","[0.352, 0.648, 0.0]",3
Would give it 6 stars if I could!,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I'm so excited this is finally on Android.  Such a well thought out app.,"[0.125, 0.75]","[0.303, 0.697, 0.0]",3
Really enjoying the classes. There's a good selection of difficulty levels and class lengths.,"[0.6, 0.6000000000000001]","[0.347, 0.527, 0.126]",3
"Easy to follow and simple user interface. Continues to guide throughout the entire sequence, unlike some other apps that forget to tell you to switch sides.","[0.07708333333333334, 0.5476190476190477]","[0.101, 0.833, 0.066]",3
"Very impressive so far, thanks!","[0.45, 0.7333333333333334]","[0.702, 0.298, 0.0]",4
I can't download. It says that cellular data is off and should be turned on... It is on as all other apps are working.. is there a setting I should change? It looks like a lovely app but cannot really rate until I am able to use it.  Thanks and hope to hear from you soon,"[0.255, 0.43]","[0.201, 0.799, 0.0]",1
I had no yoga experience but it has helped me learn yoga from a basic level,"[0.0, 0.125]","[0.0, 0.89, 0.11]",1
"Great app. User friendly but good for advancing and already advanced. Love the log , class options, music , and voice!!","[0.61125, 0.6100000000000001]","[0.554, 0.446, 0.0]",3
"My favorite yoga app, so glad it's finally on android too. Some minor glitches with the guided talk not matching poses, but other than that it's fantastic for all levels from beginner to expert!","[0.22083333333333333, 0.7458333333333335]","[0.237, 0.763, 0.0]",1
"Great for yoga on the go, quick yoga sessions and morning classes at home!","[0.6083333333333334, 0.625]","[0.253, 0.747, 0.0]",3
So easy to follow without looking at the screen,"[0.43333333333333335, 0.8333333333333334]","[0.285, 0.715, 0.0]",3
"Easy to use,  simple....  Great job!","[0.4777777777777778, 0.6468253968253969]","[0.646, 0.354, 0.0]",2
