Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"I had this app for years on my iPhone. So glad they made a version for android. This app is worth the initial cost. Pre-made classes that are great, high quality video of each move, the ability to customize your own class. Excellent all around.","[0.48, 0.6271428571428572]","[0.287, 0.713, 0.0]",2
You could easily pay 40-$90 a month for some yoga studios. As a beginner with some experience I found the videos easy to follow and very relaxing. And if there was a pose i want familiar with I could replay it until I knew how to transition. The narrator's voice is very calm and pleasant. And I love that the classes take you from beginner to intermediate to advanced all for only $3.99. You seriously cannot get a better value. I have recommended thus too many friends already.,"[0.3443055555555555, 0.6895833333333332]","[0.277, 0.647, 0.076]",1
"Bought this app when it was on offer. Very well designed and I like the Chromecast functionality. The instructor describes how to get into each position but occasionally doesn't and/or it's hard to hear so I end up looking at the screen a lot. I would buy it again though, worth paying for. There are no ads or further in app purchases (that I can see).","[0.041666666666666664, 0.31333333333333335]","[0.11, 0.848, 0.042]",1
Love this app best app 4 yoga lots of lessons and easy 2 follow,"[0.6444444444444445, 0.5777777777777778]","[0.557, 0.443, 0.0]",2
Loads different routines - even create custom ones - simple to use - great!,"[0.3333333333333333, 0.569047619047619]","[0.419, 0.581, 0.0]",3
Love this app!!,"[0.78125, 0.6]","[0.705, 0.295, 0.0]",2
"I'm so glad I chose this app. I'm at a point with yoga where I want to do more, but regular classes are getting expensive and I'm not quite ready to guide myself without running out of ideas. The options here are so convenient. It flows well and you can schedule the classes creating a similar sense of accountability as if you had a real class booked. Roll out the mat and get bendy!","[0.1357142857142857, 0.4967032967032967]","[0.119, 0.842, 0.039]",1
"I've done yoga for years. This app is an excellent resource for doing yoga at home or on the go. I like the different levels and amounts of time available. I use this app frequently. I would love to see it continue to add classes, especially for back pain. I would  recommend this app to anyone.","[0.2857142857142857, 0.5571428571428572]","[0.203, 0.741, 0.056]",3
Can I get a refund since I can't use this app at all??? ðŸ™‡,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
"Absolutely wonderful, more than I could have ever hope for!","[0.8125, 0.75]","[0.507, 0.493, 0.0]",3
"Tons of programs, no hidden fees, great instruction and guidance and flow. Better than any other app I've tried.","[0.3145833333333333, 0.4895833333333333]","[0.278, 0.635, 0.087]",1
It feels like you are actually sitting in a yoga studio and following the instructor. Best of both worlds. Can do it anywhere and still have the feel of guided class.,"[0.3333333333333333, 0.16666666666666666]","[0.193, 0.807, 0.0]",1
"I love this app, makes for a great yoga experience.  My toddlers even do it with me!","[0.75, 0.675]","[0.398, 0.602, 0.0]",3
"Best app I've ever purchased. Coming back to yoga after many years away. Perfect for all levels, moods and daily practice. I've recommended it to sveral friends/family and they all love it too. Can choose 5-60 min classes, beginner, intermediate or advanced and choose flexibility, strength, relaxation or combo classes. It's awesome. I wish they'd make one just like it for pilates!!!","[0.55, 0.5]","[0.412, 0.588, 0.0]",3
"Great program. Easy to use with a wide variety of classes at varying difficultly levels. At 99 cents, it's a steal.","[0.15833333333333333, 0.7458333333333333]","[0.251, 0.538, 0.211]",3
"Easy to use and gives clear video and voice instructions so even a beginner like me could pick it up immediately! Classes cover all lengths, skill levels and intensities. Amazing value!","[0.43611111111111117, 0.7055555555555556]","[0.376, 0.624, 0.0]",1
Absolute must have.,"[0.2, 0.9]","[0.0, 1.0, 0.0]",2
Excellent software and yoga.,"[1.0, 1.0]","[0.552, 0.448, 0.0]",3
Perfect for beginners and busy persons ! And cheap ;),"[0.44375, 0.75]","[0.457, 0.543, 0.0]",1
Provide yoga for each ailment.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
"I did yoga for years but after having a child I didn't have time, this app helps me fit it in to my life again. Yeah!","[0.5, 0.4]","[0.328, 0.672, 0.0]",1
This is the best yoga app I have experienced.  Relaxing and the schedule feature is great!,"[0.9333333333333332, 0.65]","[0.496, 0.504, 0.0]",3
"High quality,  photos,  video (need to download,  but are included with app).  Every position has a description of how to do,  and what it benefits. I highly recommend this app!","[0.18, 0.5399999999999999]","[0.221, 0.779, 0.0]",3
"The end of the sessions end rather abruptly, but besides that, the app is great! It shows each position making it easier to understand.","[0.4375, 0.875]","[0.305, 0.695, 0.0]",3
"I'm a teacher in AZ, so spending a ton of money on yoga classes isn't really an option most of the time, but this app has been pretty great at detailing yoga positions through videos for me wherever I want to get my yoga on. I'm primarily a runner (not a yoga enthusiast, to cheap) and I feel like I have never had great ending stretches until now. I love the pacing and all the leveled options. I already have my phone with me all the time so the convenience is wonderful as well. Affordable yoga, yes please!","[0.5055555555555555, 0.6666666666666666]","[0.36, 0.64, 0.0]",1
"Although this is a beautifully designed app,  I could not get the video to work.","[0.85, 1.0]","[0.236, 0.764, 0.0]",1
"More classes, detail and poses than I thought a yoga app would have.  I was delightfully surprised.  Well worth the price.","[0.3, 0.5]","[0.407, 0.593, 0.0]",2
"Mix of strength, flexibility and relaxing session's tailored to all skill levels as well as sun salutations etc.. highly recommended.","[0.16, 0.5399999999999999]","[0.464, 0.536, 0.0]",1
gets off sync when you try to fast forward or rewind,"[0.2, 0.6]","[0.0, 1.0, 0.0]",2
Great for traveling or for a day off from the gym. Great levels and poses.,"[0.8, 0.75]","[0.406, 0.594, 0.0]",3
"Simply great and easy to use! - What I miss, is a ""placeholder"" pose (with editable name) to represent my ""exotic"" poses, not (yet) contained in the built in pose library. And all the stuff should be stored on the EXTERNAL sdcard, optionally.","[0.4604166666666667, 0.6708333333333334]","[0.159, 0.806, 0.035]",3
I've tried all the yoga and workout apps. This one surpasses the rest. This has the best set of classes at the perfect skill levels. And you can create your own routines. I was hesitant to pay $5 for it but I've used it almost everyday since installing it and I'm more willing to pay one payment of $5 than monthly payments of $2 or whatever the subscription apps cost. Great app! Recommend it to beginning yogis and experienced ones.,"[0.61875, 0.7250000000000001]","[0.172, 0.78, 0.047]",1
"Great. Real good audio, voice, animation and vibe....","[0.9, 0.8250000000000001]","[0.538, 0.462, 0.0]",3
"I loved it in the apple version and was excited when they finally brought it to android. Only issue I have are some classes that are delayed with the instructions vs. When they do the actual pose itself. Other than that, I still love it and grateful to have it back!","[0.18125, 0.578125]","[0.235, 0.733, 0.032]",4
It is so cheap for what it offers!! Only warning is the classes do have to be downloaded to your device so if your memory is limited you might not want this. So many class options and levels and lengths!,"[0.22196428571428575, 0.4685714285714285]","[0.0, 0.853, 0.147]",1
Worth the money! Love the different levels and focus options. The app works well.,"[0.2916666666666667, 0.4333333333333333]","[0.436, 0.564, 0.0]",3
Awesome sauce,"[1.0, 1.0]","[0.804, 0.196, 0.0]",3
"I used this app everyday two years ago, when I was using iOS. Then I changed to Android but I've been longing for this app ever since!","[-0.25, 0.6]","[0.0, 0.941, 0.059]",1
Very helpful,"[0.2, 0.3]","[0.756, 0.244, 0.0]",3
"Super simple UI.Also, being someone who didn't know very much about yoga, it has been a great starting point and I'm excited to get to the more challenging sessions.","[0.3460416666666667, 0.5479761904761904]","[0.339, 0.661, 0.0]",4
Loved it iPhone.. happy to see it on Android as well!!,"[0.85, 0.9]","[0.562, 0.438, 0.0]",3
I have been using Yoga Studio for two years and just adore it! Thanks you for adding it to Google play!!ðŸ˜™,"[0.2, 0.2]","[0.291, 0.709, 0.0]",-1
Excellent...,"[1.0, 1.0]","[0.0, 1.0, 0.0]",3
"So happy you finally made a version for android. So easy to use, and as a beginner, I really appreciate ur classes, I can feel my body improve every session.","[0.35833333333333334, 0.7583333333333334]","[0.373, 0.627, 0.0]",3
I don't often do yoga as I don't like the meditating part of it. But this one is relaxing without weird stuff :-)) easy app to use and easy to follow,"[0.21666666666666667, 0.9166666666666667]","[0.272, 0.594, 0.134]",1
"I really love the choice of lessons, from beginners to advanced, the choice of style of yoga and duration of class... it's a lovely pace, not rushed, well explained and even a choice of background music. I'm back into my yoga and wanting to find the time to do it...excellent app!! Thank you!","[0.35, 0.4875]","[0.226, 0.744, 0.03]",4
This is an amazing app and is worth much more than the price.  Thank you so much Gaiam .,"[0.4, 0.425]","[0.353, 0.647, 0.0]",4
Amazing for all levels and great that you can customise too!,"[0.8, 0.825]","[0.477, 0.523, 0.0]",3
"Please fix this volume issue sometimes teachers voice is disable and not sync with the exercise. Video takes 10 minutes to start. Sometimes it won't play at all, I used to simply stare at phone with my yoga mat ready and fall asleep.","[0.1, 0.4285714285714286]","[0.105, 0.851, 0.044]",1
Great for someone looking to begin or jump back jnto yoga!!,"[0.4, 0.375]","[0.319, 0.681, 0.0]",3
Had this years ago and it's better than I remembered.,"[0.5, 0.5]","[0.266, 0.734, 0.0]",3
"Lot of varied time and pose sequences. Good for whether you practice vinyasa, bikram, or any other yoga. Keeps you motivated to come back and do more.","[0.26875, 0.36875]","[0.191, 0.809, 0.0]",2
Amazing app for only $1.,"[0.30000000000000004, 0.95]","[0.487, 0.513, 0.0]",3
I've only followed a few classes so far but this yoga app is certainly proving to be worth every penny and better than others I've tried :),"[0.2020408163265306, 0.6102040816326532]","[0.377, 0.623, 0.0]",2
Having been an ex yoga practitioner I am liking that I can easy myself back into the practice at my own pace. No Pressure No Judgement. Have yet to explore the rest of the videos but certainly looking forward to it.,"[0.31190476190476185, 0.6011904761904763]","[0.154, 0.738, 0.107]",1
Nice flow of routines and a wide variety to choose from.,"[0.25, 0.7]","[0.237, 0.763, 0.0]",3
"I've been using this app for a couple weeks now, and I absolutely love it. It's soothing, and guides you step by step, and I've enjoyed every class.","[0.5, 0.6499999999999999]","[0.305, 0.695, 0.0]",3
"I'm fairly new to yoga and this app guides you threw it brilliantly and at a steady pace, with plenty of classes at higher levels if your more experienced.","[0.4588383838383838, 0.6424242424242425]","[0.129, 0.871, 0.0]",3
For sure worth the money. I like the variety of classes and the ability to make your own practice. The app has the classes arranged according to your goals for your class.,"[0.4666666666666666, 0.662962962962963]","[0.25, 0.75, 0.0]",3
Loved the routines I am on beginners now; super routines...,"[0.5166666666666666, 0.7333333333333334]","[0.527, 0.473, 0.0]",3
Done several classes so far and loved them all!  Best yoga app I've found!,"[0.49375, 0.525]","[0.427, 0.573, 0.0]",3
After various injuries and a loss of discipline i ended up gaining 50 pounds. During the binge i developed all the flexibility of a 1980s action figure. This app allows me to bend my body like a german torture porn with the added benefit that no one but me can hear me cry.,"[0.05, 0.225]","[0.128, 0.699, 0.172]",1
"I am a beginner to yoga. I feel great after doing one of these classes! They explain everything so well, I love how they let you learn about specific poses, I love how you can schedule in a class into your calendar... much more. I really am enjoying using this daily!","[0.42857142857142855, 0.4535714285714286]","[0.343, 0.657, 0.0]",1
I have been doing yoga for over 50 years and this is the best yoga resource I have found. There is a large number of classes covering different areas of the body and offering different levels to suit beginner to advanced. The instruction is presented in a very soft clear voice with nice background music giving lots of tips for correct technique.,"[0.3055357142857143, 0.5458630952380952]","[0.231, 0.769, 0.0]",3
"Its everything I looked for in a yoga app. There is a human doing the poses so you can tell exactly how you should look, let's you go into poses without starting exercise to see how they are done, has pre-made classes and let's you customize your own uses poses you like. I'm so glad I made the purchase.","[0.27, 0.49000000000000005]","[0.099, 0.901, 0.0]",1
Love that you can create your own sequence!,"[0.625, 0.8]","[0.524, 0.476, 0.0]",2
This app is exactly what I've been looking for in a yoga app. I love that the classes are divided into difficulty plus have different lengths of time for most of them. I barely use it with my chromecast. I find myself just playing the class videos right off my phone.,"[0.2642857142857143, 0.4309523809523809]","[0.115, 0.84, 0.046]",1
Great for beginner of yoga to get started.,"[0.8, 0.75]","[0.369, 0.631, 0.0]",3
Love love love it!! Why paying lots of money for yoga classes is you can do all of that in your own room / backyard / wherever for $2?!,"[0.6328125, 0.7]","[0.36, 0.64, 0.0]",2
"I have just completed my first class and I am already in love! The pace is perfect, love that you can edit the volume of the music and the teacher independently from each other. I am looking forward to creating custom classes for myself. Thank you for such an amazing app! â™¡","[0.375, 0.5541666666666667]","[0.33, 0.67, 0.0]",-1
Excellent!!! This app includes all of the difficult poses I'm currently attempting to master!,"[0.16666666666666666, 0.7999999999999999]","[0.251, 0.62, 0.129]",3
Best yoga app in market,"[1.0, 0.3]","[0.512, 0.488, 0.0]",2
"This was recommended to me by a friend and I love it! Very easy for beginners to follow and I love that I can do 10/15 minute sessions for when I have no time, well done, best yoga app by far, videos flow brilliantly.","[0.6147222222222223, 0.75]","[0.458, 0.505, 0.037]",4
Have used this app for several years now but just changed my phone to android and was a pain to use my old phone for the app. Thank you! Love this app and there is something for everyone and if you're feeling a bit lazy there's something for that too!,"[0.078125, 0.45]","[0.183, 0.693, 0.124]",1
"I absolutely loved this app on iPhone and was so upset when I switched to Android and it wasn't available. No other yoga app compares. The soothing voiceover, the customizable classes, the scheduling, the pose dictionary ... This app is amazing.","[0.290625, 0.61875]","[0.246, 0.686, 0.068]",3
"Splendid app: everything you could want in a yoga app and more. You can customise routines, the background music/ sound effects and more. Definitely worth a buy!","[0.5216666666666667, 0.5]","[0.335, 0.665, 0.0]",1
"I'm in yoga teacher training. I love this app so far, and I've only used the beginner videos. I just wish savasana could be a little longer! ðŸ˜­ and maybe the music could fade out instead of abruptly stopping - it kind of takes away from the mood of finishing a good yoga sesh. Overall though, I love the app!","[0.24062499999999998, 0.6888888888888888]","[0.224, 0.752, 0.025]",-1
"The best yoga app on any app store. There are loads of classes, all very well put together and you can create your own. The classes cater to different goals and ability levels. The community is great as well, the FB page is always active. The yoga teacher from the app responds to queries and has brought together a great community you can feel part of. Highly recommended.","[0.42833333333333334, 0.6050000000000001]","[0.313, 0.687, 0.0]",3
"All the other yoga apps are horrible you have to keep selecting what move you wanna do theres no flow to em. This one has that, it has flow. Its very instructive for those who have never done yoga and a hell off a lot cheaper then a real yoga class. Plus woth the benefits of work out in the comfort of my own home. I love it i would five 10 stars if i could","[0.06249999999999998, 0.5958333333333333]","[0.111, 0.766, 0.123]",1
I'm a user of both OS systems (iOS \u0026amp; Android). This is by far the most useful app in the stores. You can chose follows the classes or build your own. Kudos,"[0.375, 0.625]","[0.183, 0.817, 0.0]",1
I trained as a yoga instructor but this wonderful app let's me enjoy being a student again. Namaste.,"[0.7, 0.75]","[0.444, 0.556, 0.0]",3
